obs,country,country_map,code,region,ims,gdp_pc,gov_ed,unem,timebuss,psa,cci,imp,mena,govexp,che,democracy,democracy2,hief,refug,richoil,oilrents
103,Kiribati,Kiribati,KIR,East Asia & Pacific,2.80458625,2170.626557,NA,NA,31,0.8435606,0.2201142,Maintain,0,62.58544616,7.98818541,NA,NA,NA,NA,0,0
104,"Korea, Dem. People’s Rep.",North Korea,PRK,East Asia & Pacific,0.192635219,NA,NA,2.888000011,NA,-1.153405,-1.247948,Maintain,0,NA,NA,-10,0,NA,NA,NA,NA
105,"Korea, Rep.",South Korea,KOR,East Asia & Pacific,2.639159354,38870.12127,NA,3.599999905,8,0.1610141,0.373622,Raise,0,15.08352973,6.65271664,8,NA,9.5,1455,0,0.000275444
106,Kosovo,Kosovo,XKX,Europe & Central Asia,NA,9723.561903,NA,NA,10,-0.199357,-0.5355489,NA,0,15.39349061,NA,NA,NA,NA,NA,0,0
108,Kyrgyz Republic,Kyrgyzstan,KGZ,Europe & Central Asia,3.440796423,4805.141092,5.985509872,7.559999943,10,-0.8824379,-1.149714,Maintain,0,17.7553733,7.14930916,7,2,48.7,349,0,0.12051946
109,Lao PDR,Laos,LAO,East Asia & Pacific,0.327020359,6543.666806,NA,0.691999972,187,0.541362,-0.9116009,Maintain,0,15.10665451,2.45366454,-7,0,63.4,NA,0,0
110,Latvia,Latvia,LVA,Europe & Central Asia,13.35324026,26634.0248,5.314129829,9.873000145,5.5,0.4437472,0.4681761,Maintain,0,NA,NA,8,3,54.7,193,0,0
112,Lesotho,Lesotho,LSO,Sub-Saharan Africa,0.307818842,2727.120651,NA,24.3939991,29,-0.3084288,0.0625368,NA,0,37.27847124,8.49196434,8,2,31.3,31,0,0
113,Liberia,Liberia,LBR,Sub-Saharan Africa,2.526491982,1580.478874,NA,2.078999996,6,-0.8180257,-0.6454387,Maintain,0,16.86332389,10.37773991,6,2,88.9,36495,0,0
115,Liechtenstein,Liechtenstein,LIE,Europe & Central Asia,62.59625376,NA,NA,NA,NA,1.45784,2.064388,Maintain,0,NA,NA,NA,NA,NA,146,NA,NA
116,Lithuania,Lithuania,LTU,Europe & Central Asia,4.726089623,30807.27513,4.22988987,9.119999886,5.5,0.759794,0.6176547,Raise,0,17.21267333,6.49459124,10,3,28.4,1094,0,0.031936642
117,Luxembourg,Luxembourg,LUX,Europe & Central Asia,43.96413394,110951.9888,3.918200016,6.669000149,16.5,1.439398,2.096687,Maintain,0,16.50436501,5.28378248,10,3,NA,1306,0,0
118,"Macao SAR, China",NA,MAC,East Asia & Pacific,58.32190277,120294.8958,2.981699944,1.809999943,NA,1.202256,0.6117634,NA,0,9.602084961,NA,NA,NA,NA,NA,0,0
119,Madagascar,Madagascar,MDG,Sub-Saharan Africa,0.132347777,1546.766536,2.210119963,1.784999967,13,-0.4273629,-0.851298,NA,0,15.14031624,5.72116804,6,1,19.4,6,0,0.071564686
120,Malawi,Malawi,MWI,Sub-Saharan Africa,1.249811795,1027.229606,5.608660221,5.846000195,38,0.0318961,-0.7665762,Lower,0,13.89949658,9.33333778,6,2,79.1,9018,0,0
121,Malaysia,Malaysia,MYS,East Asia & Pacific,8.289348916,24787.8262,4.894869804,3.099999905,7.5,0.2589576,0.2350726,Lower,0,13.0865608,3.81608534,5,1,57,94161,0,1.878770016
